item_id,name,price,category,description,image
55,Chicken Wrap,120,Snacks,Stuffed chicken roll,chicken_wrap.jpg
56,Thali Veg,180,Indian,Complete veg meal,veg_thali.jpg
57,Thali Non-Veg,220,Indian,Complete non-veg meal,nonveg_thali.jpg
58,Chole Bhature,100,Indian,Chickpeas with fried bread,chole_bhature.jpg
59,Pav Bhaji,90,Indian,Mixed veg curry with buns,pav_bhaji.jpg
60,Paneer Butter Masala,180,Indian,Rich paneer curry,paneer_butter_masala.jpg
61,Butter Chicken,200,Indian,Creamy chicken curry,butter_chicken.jpg
62,Palak Paneer,160,Indian,Spinach curry with paneer,palak_paneer.jpg
63,Dal Makhani,150,Indian,Rich black lentil curry,dal_makhani.jpg
64,Jeera Rice,80,Indian,Cumin flavored rice,jeera_rice.jpg
65,Roti,15,Indian,Whole wheat flatbread,roti.jpg
66,Naan,20,Indian,Soft tandoori bread,naan.jpg
67,Garlic Naan,25,Indian,Naan with garlic topping,garlic_naan.jpg
68,Paratha,30,Indian,Layered flatbread,paratha.jpg
69,Aloo Paratha,50,Indian,Stuffed potato paratha,aloo_paratha.jpg
70,Egg Curry,150,Indian,Eggs in spicy curry,egg_curry.jpg
71,Baingan Bharta,130,Indian,Roasted eggplant curry,baingan_bharta.jpg
72,Mixed Veg Curry,140,Indian,Spiced mixed vegetables,mixed_veg.jpg
73,Boondi Raita,40,Indian,Yogurt with fried boondi,boondi_raita.jpg
74,Cucumber Raita,40,Indian,Yogurt with cucumber,cucumber_raita.jpg
75,Green Salad,30,Salads,Fresh vegetable salad,green_salad.jpg
76,Russian Salad,70,Salads,Mayonnaise-based salad,russian_salad.jpg
77,Fruit Salad,60,Salads,Seasonal fruit mix,fruit_salad.jpg
78,Bhel Puri,50,Snacks,Puffed rice chaat,bhel_puri.jpg
79,Pani Puri,40,Snacks,Spicy water balls,pani_puri.jpg
80,Dahi Puri,50,Snacks,Yogurt filled puris,dahi_puri.jpg
81,Sev Puri,50,Snacks,Flat puris with toppings,sev_puri.jpg
82,Ragda Pattice,60,Snacks,Potato patties with peas curry,ragda_pattice.jpg
83,Kachori,40,Snacks,Spiced lentil-filled pastry,kachori.jpg
84,Moong Dal Halwa,90,Desserts,Warm lentil dessert,moong_dal_halwa.jpg
85,Gajar Halwa,80,Desserts,Carrot dessert with milk,gajar_halwa.jpg
86,Basundi,70,Desserts,Condensed milk dessert,basundi.jpg
87,Chocolate Ice Cream,60,Desserts,Chilled chocolate dessert,chocolate_icecream.jpg
88,Vanilla Ice Cream,50,Desserts,Classic vanilla dessert,vanilla_icecream.jpg
89,Strawberry Ice Cream,60,Desserts,Fruit flavored ice cream,strawberry_icecream.jpg
90,Butterscotch Ice Cream,65,Desserts,Crispy caramel flavored,butterscotch_icecream.jpg
91,Irish Coffee,90,Beverages,Hot coffee with Irish flavor,irish_coffee.jpg
92,Orange Juice,70,Beverages,Fresh orange drink,orange_juice.jpg
93,Watermelon Juice,60,Beverages,Fresh watermelon drink,watermelon_juice.jpg
94,Peach Iced Tea,80,Beverages,Cold peach flavored tea,peach_iced_tea.jpg
95,Mojito,70,Beverages,Lime mint cooler,mojito.jpg
96,Hot Chocolate,90,Beverages,Rich chocolate drink,hot_chocolate.jpg
97,Mineral Water,20,Beverages,Bottled drinking water,water.jpg
98,Buttermilk,30,Beverages,Salted yogurt drink,buttermilk.jpg
99,Espresso,60,Beverages,Strong black coffee,espresso.jpg
100,Cappuccino,80,Beverages,Coffee with frothy milk,cappuccino.jpg
